nom,note,prix,categories,adresse,latitude,longitude
L'îlot,4.4,€€,Seafood,4 rue de la Corderie 75003 Paris France,48.8647842407227,2.36330199241638
Khajuraho,4.8,,Indian,14 bd de la Tour Maubourg 75007 Paris France,48.861542,2.310126
Le Relais de l’Entrecôte,4.0,€€€,Steakhouses,15 rue Marbeuf 75008 Paris France,48.86808,2.30295
Le Colimaçon,4.4,€€€,"French, Bistros, Steakhouses",44 rue Vieille du Temple 75004 Paris France,48.8580235883243,2.35806396197131
Gemini,4.3,€€,Italian,16 rue des Halles 75001 Paris France,48.8593674647599,2.34705866389581
Le Relais du Louvre,4.1,€€,French,3 rue Saint-Honoré 75001 Paris France,48.861651,2.34094
Istanbul,4.8,€,"Donairs, Turkish, Greek",1 rue des Fossés Saint-Jacques 75005 Paris France,48.84608,2.34326
Express de Lyon,4.3,€€,"Sports Bars, Brasseries, Bistros",1 rue Lyon 75012 Paris France,48.8458754234665,2.37198472387308
Chez Gabrielle,4.7,€€€,French,7 rue de l'Etoile 75017 Paris France,48.87669,2.29619
La French Guinguette,4.3,€€,"Cocktail Bars, French",58 rue Rambuteau 75004 Paris France,48.8617418954553,2.35155543990315
Le Cinq,4.7,€€€€,French,31 avenue George V 75008 Paris France,48.8688,2.30083
L'Entente,4.5,€€,"British, Modern European",13 rue Monsigny 75002 Paris France,48.869145,2.335391
Café de Mars,4.6,€€,"French, Mediterranean, Asian Fusion",11 rue Augereau 75007 Paris France,48.85731,2.30205
Le Coq & Fils - The Poultry House,4.4,€€€€,Rotisserie Chicken,98 Rue Lepic 75018 Paris France,48.887261205041,2.3370014478986
La Pie Noir,4.6,,French,5 rue de la Montagne Sainte Geneviève 75005 Paris France,48.84929,2.34888
Tire Bouchon,4.4,,Restaurants,47 rue Descartes 75005 Paris France,48.84522,2.34919
Pain Vin Fromages,4.4,€€,Fondue,3 rue Geoffroy-l'Angevin 75004 Paris France,48.860525,2.354439
Le Bouledogue,4.0,€€,"French, Bars, Brasseries",20 Rue Rambuteau 75003 Paris France,48.86082,2.3547
L'Aller Retour,4.3,€€€,"Wine Bars, Steakhouses",5 rue Charles François Dupuis 75003 Paris France,48.865353,2.363151
Chez le Libanais,4.5,€,Lebanese,35 et 36 rue Saint-André-des-Arts 75006 Paris France,48.85331,2.34166
Le Black Dog,4.2,€€,"Bars, Argentine",26 rue des Lombards 75004 Paris France,48.85943,2.34918
Le Bistro V,5.0,,"Bistros, French",56 bd de Port-Royal 75005 Paris France,48.83768,2.34622
Le Prince Racine,4.5,,"Cafes, Brasseries, French",22 rue Monsieur le Prince 75006 Paris France,48.849857,2.339913
Café Louise,4.0,€€,"Cafes, Brasseries",155 bd Saint Germain 75006 Paris France,48.853878376742,2.3321086257314
Le Bistrot de Paris,4.4,€€€,"French, Bistros, Brasseries",33 rue de Lille 75007 Paris France,48.85854,2.32946
Au Bon Accueil,4.5,€€€,French,14 rue Monttessuy 75007 Paris France,48.8596099,2.2993434
Le Pré,4.5,,"Cocktail Bars, Beer Bar, Cafes",4 rue du Four 75006 Paris France,48.85301,2.33514
Au Bougnat,4.2,€€€,French,26 rue Chanoinesse 75004 Paris France,48.8543,2.35002
Frame,3.0,€€€,"Bars, American, French",28 rue Jean Rey 75015 Paris France,48.85679,2.293021
Shabestan,4.6,,Persian/Iranian,5 rue du Commandant Rivière 75008 Paris France,48.8727,2.30932
Odette,4.6,,"French, Wine Bars, Breakfast & Brunch",25 rue du Pont Neuf 75001 Paris France,48.86061,2.34452
Ober Mamma,4.3,€€,"Pizza, Italian, Cocktail Bars",107 boulevard Richard Lenoir 75011 Paris France,48.86446,2.37018
Restaurant le Meurice Alain Ducasse,4.2,€€€€,French,228 rue de Rivoli 75001 Paris France,48.86516,2.32807
Au Petit Village,4.9,,French,06 rue Coypel 75013 Paris France,48.8332625215691,2.35616696743751
L'Insolite,5.0,,Brasseries,86 avenue de Villiers 75017 Paris France,48.8845,2.302087
Canard Street,4.4,€€,"French Southwest, Delicatessen",16 rue des Petits Champs 75002 Paris France,48.86674,2.33716
Au Vieux Comptoir,4.1,€€€,French,17 rue des Lavandières-Sainte-Opportune 75001 Paris France,48.8588,2.34602
Le Cabanon de la Butte,4.7,,French,6 rue Lamarck 75018 Paris France,48.8866299,2.34436
Café Madame,4.5,,"Breakfast & Brunch, Cafes",25 Rue de Vaugirard 75006 Paris France,48.8483521138708,2.33179995352665
La Cuisine de Philippe,4.6,€€€,French,25 rue Servandoni 75006 Paris France,48.8491,2.33483
La Vie d'Ange,4.6,€€€,"French, Wine Bars",41 bd Saint-Jacques 75014 Paris France,48.83257,2.33781
Le Mazenay,4.5,€€,Bourguignon,46 rue de Montmorency 75003 Paris France,48.8636068791682,2.35325365211382
L'Auberge des Deux Ponts,4.3,€€,French,7 rue des Deux Ponts 75004 Paris France,48.85145,2.3561
Café Latin,4.4,,Brasseries,30 rue Saint André des Arts 75006 Paris France,48.853617,2.342281
Heureux Comme Alexandre,4.3,€€,Fondue,24 rue Parcheminerie 75005 Paris France,48.85178,2.34472
Les Bougresses,4.6,€€€,French,6 rue Jarente 75004 Paris France,48.85601,2.363076
Le Montaigne,4.8,€€€,"French, Brasseries",103 bd du Montparnasse 75006 Paris France,48.8423718050096,2.32900813254093
La Petite,4.5,€,"Tapas/Small Plates, Beer Bar, Cocktail Bars",53 rue Lacépède 75005 Paris France,48.8442734612328,2.34994811217089
Les Routiers,4.4,€€,"French, Bistros",50 bis rue Marx Dormoy 75018 Paris France,48.888886,2.360083
Chez Papa Jazz Club,4.4,€€€,"Jazz & Blues, French",3 rue Saint-Benoît 75006 Paris France,48.8553886,2.3334401
Chez André,3.6,€€€,French,12 rue Marbeuf 75008 Paris France,48.867812,2.302855
Poupée,4.3,,"Wine Bars, Tapas Bars",2 impasse Berthaud 75003 Paris France,48.861343,2.353774
La Petite Rose des Sables,4.7,€€,French,6 rue de Lancry 75010 Paris France,48.868943,2.360193
Bistrot Richelieu,4.2,€€€,"French, Breakfast & Brunch",45 rue de Richelieu 75001 Paris France,48.866218,2.337011
L'Ange 20,4.7,€€€,French,44 rue des Tournelles 75004 Paris France,48.8558083,2.3673799
Les Bains - La Salle à Manger,5.0,€€€€,French,7 rue du Bourg l'Abbé 75003 Paris France,48.8639183,2.352
La Boîte aux Lettres,4.8,€€€,French,108 rue Lepic 75018 Paris France,48.8868300540186,2.3381794989109
Le Moulin de la Galette,3.9,€€€,French,83 rue Lepic 75018 Paris France,48.88734,2.33705
L'Alsacien,4.7,€€,"Beer Bar, Wine Bars, Alsatian",6 rue Saint-Bon 75004 Paris France,48.8582259709568,2.35042658065285
L'Oliveto,4.5,,Italian,38 rue de Buci 75012 Paris France,48.85339,2.33595
Le Singe à Paris,4.6,,French,40 rue Traversière 75012 Paris France,48.8489999,2.37471
Enza & Famiglia Trattoria Pasta,4.5,€€,Italian,89 rue Saint-Honoré 75001 Paris France,48.8609426,2.3433822
Pavillon Ledoyen,4.2,€€€€,French,8 avenue Dutuit 75008 Paris France,48.8661071818398,2.31645151287496
Ducasse sur Seine,3.8,,French,Port Debilly Paris France,48.85948,2.29027
Jaïs,4.4,,French,3 rue Surcouf 75007 Paris France,48.8621584988538,2.30933565115413
L'Auberge Bressane,4.0,€€€,French,16 avenue de la Motte Picquet 75007 Paris France,48.8565635959637,2.30848165676116
Robert et Louise,4.1,€€€,"French, Steakhouses",64 rue Vieille du Temple 75003 Paris France,48.859081,2.359435
Le Volant Basque,4.6,€€,Basque,13 rue Béatrix Dussane 75015 Paris France,48.8499,2.29127
Lion Sot,4.7,,French,6 avenue René Coty 75014 Paris France,48.8329024303849,2.33268231153488
Pierre Sang,4.4,€€€,"French, Korean",55 rue Oberkampf 75011 Paris France,48.86461,2.37233
Le Coupe Gorge,4.7,€€€,French,2 rue de la Coutellerie 75004 Paris France,48.8574513,2.350399
Ma Salle à Manger,4.0,€€,French Southwest,26 place Dauphine 75001 Paris France,48.856961,2.341829
L'Aligot,4.9,,Auvergnat,73 avenue Niel 75017 Paris France,48.8823099,2.29584
La Cave à Vin,4.4,€€,"French, Beer, Wine & Spirits",7 rue de l'Epée de Bois 75005 Paris France,48.84158,2.35095
L'Auberge Café,4.1,€€,French,4 rue Bertin Poirée 75001 Paris France,48.85833,2.3446
Le Petit Pontoise,4.5,€€€,Bistros,9 rue de Pontoise 75005 Paris France,48.8498845,2.3520959
Le Petit Caillou,4.2,€€,Bistros,210 rue de Grenelle 75007 Paris France,48.85665,2.30323
Café de Paris,3.9,€€,Brasseries,3 rue de l'Échelle 75001 Paris France,48.863662,2.33385
Essaouira,4.5,€€,Moroccan,16 rue de Magdebourg 75116 Paris France,48.86445,2.28973
Carpe Diem Café,4.2,€€,"French, Lounges, Cocktail Bars",21 rue des Halles 75001 Paris France,48.8605269,2.3459065
Fosca,4.3,,Italian,19 boulevard Diderot 75012 Paris France,48.84586,2.37168
La Droguerie du Marais,4.6,€,Creperies,56 rue des Rosiers 75004 Paris France,48.85789,2.35797
Café New York,4.5,,French,6 avenue de New York 75016 Paris France,48.86418,2.29965
Le 27 Madame,4.8,,French,27 rue Madame 75006 Paris France,48.84978,2.33187
Grand Cœur,4.3,€€€,French,41 rue du Temple 75004 Paris France,48.85956,2.35397
Le Train Bleu,3.7,€€€,French,Place Louis Armand 1er étage 75012 Paris France,48.844901,2.373278
La Grande Cremerie,4.5,€€,"Wine Bars, French",8 rue Grégoire-de-Tours 75006 Paris France,48.853398816452,2.33779953372959
Beefbar,3.9,€€€€,Steakhouses,5 rue Marbeuf 75008 Paris France,48.86749,2.30209
Kodawari Ramen,4.3,€€,Ramen,29 rue Mazarine 75006 Paris France,48.85467,2.33806
Shakespeare and Company,4.5,€€,"Bookstores, Cafes",37 rue de la Bûcherie 75005 Paris France,48.852658704771,2.3469621526521
Chez Julien,4.2,€€,Bistros,2 rue Lepic 75018 Paris France,48.8840714,2.3331101
Rumeurs,5.0,€€,"Wine Bars, French",34 rue des Ecoles 75005 Paris France,48.8491211,2.3470199
Le Jules Verne,4.3,€€€€,French,Avenue Gustave Eiffel Deuxième étage 75007 Paris France,48.8583600000432,2.29599999988013
Dong Phat,4.4,€€,Vietnamese,10 rue Malar 75007 Paris France,48.86052,2.3057
Le Brun,4.8,,French,95 rue Saint Honoré 75001 Paris France,48.86128,2.3432
D'Chez Eux,4.4,€€€€,French,2 ave de Lowendal 75007 Paris France,48.85309,2.3091
Le Sirocco,4.3,€€,Moroccan,8 bis rue Gobelins 75013 Paris France,48.83588,2.35193
La Rotonde,4.0,€€€,Brasseries,105 boulevard du Montparnasse 75006 Paris France,48.8423557905769,2.32917424911591
Boulettes,4.6,€€,French,179 rue Saint-Denis 75002 Paris France,48.86557,2.35045
Chez Savy,4.3,€€€,"French, Brasseries",23 rue Bayard 75008 Paris France,48.8670726,2.3077693
Café Lai Tcha,4.7,,Pan Asian,7 rue du Jour 75001 Paris France,48.863565,2.344205
Juvéniles,4.2,€€€€,"French, Wine Bars",47 rue de Richelieu 75001 Paris France,48.86624,2.33717
Café Saint-Régis,4.1,€€,"French, Breakfast & Brunch",6 rue Jean du Bellay 75004 Paris France,48.853392,2.353736
Le Bouchon et l'Assiette,4.5,€€€,French,127 Rue Cardinet 75017 Paris France,48.88632,2.31264
Le Colvert,4.7,,French,54 rue Saint-André des Arts 75006 Paris France,48.85357,2.3401146
Le Pantruche,4.4,€€€,French,3 rue Victor Massé 75009 Paris France,48.88046,2.3402
Strada Café,4.4,€,"Coffee & Tea, Breakfast & Brunch",94 rue du Temple 75003 Paris France,48.863188,2.357273
Au Pied de Cochon,3.3,€€€,"Seafood, Brasseries",6 rue Coquillière 75001 Paris France,48.863719,2.343711
Café Marguerite,4.4,€€,Brasseries,28 rue des Martyrs 75009 Paris France,48.8785136901908,2.33986740145586
Bar Italia Brasserie,4.9,€€€,Italian,22 rue Moncey 75009 Paris France,48.879965,2.329399
Brasserie de la Bourse,4.4,€€,"French, Brasseries",27 Rue Jean Jacques Rousseau 75001 Paris France,48.86289,2.34125
Café Varenne,4.4,€€,"French, Bars",36 rue de Varenne 75007 Paris France,48.85413,2.32354
Rosie,4.3,,Brasseries,53 rue du Faubourg Saint-Antoine 75011 Paris France,48.85219,2.37304
La Maison de la Truffe,4.2,€€€€,French,19 place de la Madeleine 75008 Paris France,48.87074,2.3239899
Café Jamin,5.0,,French,32 rue de Longchamp 75016 Paris France,48.86508,2.28992
La Piazzetta,4.9,,"Italian, Breakfast & Brunch",1 rue Bréa 75004 Paris France,48.843792,2.3305
Café Pola,4.8,,Bistros,77 boulevard Beaumarchais 75003 Paris France,48.85842,2.3676
Le 52,4.5,€€€,French,52 rue du Faubourg Saint-Denis 75010 Paris France,48.87208,2.35405
Brasserie du Quai,3.8,,"Cafes, Brasseries, Pizza",2 quai de la Mégisserie 75001 Paris France,48.8576368617784,2.34592984887352
Rivié,4.3,,French,32 rue du Sentier 75002 Paris France,48.870197,2.346449
Le Poulailler,4.1,,"French, Wine Bars",60 rue Saint-Sabin 75011 Paris France,48.859174,2.368921
Le Choupinet,4.0,€€€,"Brasseries, French, Cafes",58 boulevard Saint-Michel 75006 Paris France,48.8477332,2.340714
La Famiglia,4.5,€€,"Pizza, Italian",37 rue Berger 75001 Paris France,48.8618507,2.34358
Fajitas,4.2,€€,Mexican,15 rue Dauphine 75006 Paris France,48.8555801,2.3400906
Septime,4.3,€€€€,Modern European,80 rue de Charonne 75011 Paris France,48.85355,2.380665
Le Temps des Cerises,4.4,€€€,"French, Bistros, Cafes",31 rue de la Cerisaie 75004 Paris France,48.852569,2.364184
Fric-Frac,4.4,€€,"French, Sandwiches",79 quai de Valmy 75010 Paris France,48.872441,2.364006
Caves Legrand,4.4,€€€,"Beer, Wine & Spirits, Wine Tasting Room, Tapas/Small Plates",1 rue de la Banque 75002 Paris France,48.8662599,2.33993
Le Porte Pot,4.3,€€,"Wine Bars, Bistros",14 rue Boutebrie 75005 Paris France,48.85134,2.34452
Loup,3.9,€€€,"French, Breakfast & Brunch",44 rue du Louvre 75001 Paris France,48.863959,2.342631
La Poule au Pot,4.2,€€€,French,9 rue Vauvilliers 75001 Paris France,48.861797,2.343306
Bouillon Pigalle,3.6,€€,French,22 boulevard Clichy 75018 Paris France,48.88258,2.33744
Nove,4.6,€€,Italian,9 rue de Charonne 75011 Paris France,48.852512,2.374132
La Grange aux Canards,4.4,,French,23 rue Frédéric Sauton 75005 Paris France,48.85058,2.34901
Janine loves Sunday,4.5,€€,"Brasseries, Vegan",49 rue Montmartre 75002 Paris France,48.865794,2.344502
