nom,note,prix,categories,adresse,latitude,longitude
Café Louise,4.2,€€,"Tea Rooms, Brasseries",8 rue Croix des Petits Champs 75001 Paris France,48.86267,2.33941
Les Antiquaires,4.4,€€€,Bistros,13 rue du Bac 75007 Paris France,48.8580664639432,2.32823697067099
L'Avant Comptoir,4.4,€€,"Tapas Bars, Wine Bars",3 carrefour de l'Odéon 75006 Paris France,48.85202,2.3388
La Clef des Champs,5.0,€€,Brasseries,49 rue des Petits Champs 75001 Paris France,48.867032,2.335326
La Famiglia,4.5,€€,"Pizza, Italian",37 rue Berger 75001 Paris France,48.8618507,2.34358
Carpe Diem Café,4.2,€€,"French, Lounges, Cocktail Bars",21 rue des Halles 75001 Paris France,48.8605269,2.3459065
Le Fumoir,3.8,€€€,"Lounges, Modern European",6 rue de l'Amiral de Coligny 75001 Paris France,48.8604,2.34055
La Belle Epoque,3.7,€€€€,French,36 rue des Petits Champs 75002 Paris France,48.867195,2.335463
Le Grand Vefour,4.2,€€€€,French,17 rue de Beaujolais 75001 Paris France,48.86621,2.33801
Les Fines Gueules,4.0,€€€,French,43 rue Croix des Petits Champs 75001 Paris France,48.8652299,2.34071
Le Nemours,3.6,€€,Brasseries,2 place Colette 75001 Paris France,48.863135,2.336537
Chez Gab's,5.0,N/A,"Bars, Sandwiches",12 rue Jean-Jacques Rousseau 75001 Paris France,48.86238,2.34038
Café Lai Tcha,4.7,N/A,Pan Asian,7 rue du Jour 75001 Paris France,48.863565,2.344205
Zinqué,5.0,N/A,"French, Cocktail Bars",34 Rue Étienne Marcel 75002 Paris France,48.86494975806268,2.3453793
Le Voltaire,3.9,€€,French,27 quai Voltaire 75007 Paris France,48.85911,2.3303
Au Pied de Cochon,3.3,€€€,"Seafood, Brasseries",6 rue Coquillière 75001 Paris France,48.863719,2.343711
Janine loves Sunday,4.5,€€,"Brasseries, Vegan",49 rue Montmartre 75002 Paris France,48.865794,2.344502
Bistrot Pyramide,4.0,€€,Bistros,20 rue des Pyramides 75001 Paris France,48.86576,2.33375
Rarita,5.0,N/A,Italian,98-100 rue saint-honoré 75001 Paris France,48.8616340308718,2.3423022595245246
Freddy's,4.6,€€€,"Tapas Bars, French, Steakhouses",54 rue de Seine 75006 Paris France,48.85424,2.33685
Big Fernand,3.9,€€,"French, Friterie, Burgers",40 place du Marché Saint-Honoré 75001 Paris France,48.8674295338603,2.33259882777929
La French Guinguette,4.3,€€,"Cocktail Bars, French",58 rue Rambuteau 75004 Paris France,48.8617418954553,2.35155543990315
Omusubi Gonbei,4.6,N/A,Japanese,27 rue des Petits Champs 75002 Paris France,48.866838,2.337186
La Corte,4.4,€€€,Italian,320 rue Saint-Honoré 75001 Paris France,48.86534,2.33106
Ban Bua,4.3,N/A,Thai,28 bis rue de Richelieu 75001 Paris France,48.86523,2.33671
Tradi,5.0,€€€,Bistros,4 rue du Mail 75002 Paris France,48.86635,2.34158
Le Relais de l'Entrecôte,4.1,€€€,Steakhouses,20 rue Saint Benoît 75006 Paris France,48.85469,2.3329
Takara,4.5,€€€€,Japanese,14 rue Molière 75001 Paris France,48.864977,2.335903
Restaurant du Palais Royal,4.5,€€€€,French,110 galerie de Valois 75001 Paris France,48.865580245548,2.33890172838062
Au Bourguignon du Marais,4.3,€€€,French,52 rue François Miron 75004 Paris France,48.8555191281373,2.3577103595245
CHANG,4.4,€€,"Thai, Tapas Bars, Cocktail Bars",22 rue des Pyramides 75001 Paris France,48.86597,2.33391
Chez Mademoiselle,4.5,€€€,French,16 rue Charlemagne 75004 Paris France,48.85432,2.35979
L'Espadon,4.8,N/A,"French, Breakfast & Brunch",15 place Vendôme 75001 Paris France,48.868108,2.328869
Baltard au Louvre,3.6,N/A,Brasseries,9 Rue Coquillière 75001 Paris France,48.86358,2.34235
La Sourdière,4.1,€€€,French,4 rue la Sourdière 75001 Paris France,48.86526,2.33178
Le Mille Pâtes,4.5,€,"Italian, Delicatessen",5 rue des Petits Champs 75001 Paris France,48.8661699,2.33913
Restaurant le Meurice Alain Ducasse,4.2,€€€€,French,228 rue de Rivoli 75001 Paris France,48.86516,2.32807
L'Imprimerie,3.8,€€,Cafes,29 rue Coquillière 75001 Paris France,48.86413,2.3416
万食如意 Fresh Noodles,4.4,€€,"Chinese, Pan Asian",23 rue Saint-Denis 75001 Paris France,48.859595,2.347833
Willi's Wine Bar,4.0,€€€,"French, Wine Bars",13 rue des Petits Champs 75001 Paris France,48.8663685,2.3383695
Aki,4.0,€€,Japanese,11 bis rue Sainte-Anne 75001 Paris France,48.86604,2.3353
A Casaluna,3.8,€€,French,4 rue Beaujolais 75001 Paris France,48.86605,2.3391
Au Petit Bar,4.4,€€,French,7 rue du Mont-Thabor 75001 Paris France,48.8654709,2.3291099
Le Musset,3.5,€€,"French, Cocktail Bars",169 rue Saint-Honoré 75001 Paris France,48.863814,2.334018
Baguett's Café | Coffeeshop & Brunch Everyday,4.5,€€,"Cafes, Breakfast & Brunch",33 rue de Richelieu 75001 Paris France,48.86528,2.33657
Café Saint Honoré,3.5,€€,"French, Cafes",194 rue St Honoré 75001 Paris France,48.8626,2.33805
Gwadar,4.4,€€,Indian,39 rue Saint roch 75001 Paris France,48.86621788,2.33280435
Le Pot de Vins,4.6,€€€€,"French, Wine Bars",36 rue Croix des Petits Champs 75001 Paris France,48.8642399,2.3403919
Café Dalayrac,3.9,€€,Brasseries,2 Rue Dalayrac 75002 Paris France,48.86756,2.33475
El Tonel,4.0,€€,"Bars, Spanish, Tapas Bars",5 rue des Pyramides 75001 Paris France,48.864359,2.332453
Le Pré,4.5,N/A,"Cocktail Bars, Beer Bar, Cafes",4 rue du Four 75006 Paris France,48.85301,2.33514
L'Auberge Café,4.1,€€,French,4 rue Bertin Poirée 75001 Paris France,48.85833,2.3446
Le Louis,4.5,€€€,French,31 rue Coquillière 75001 Paris France,48.864257,2.341366
Le 202 Rivoli,4.3,€€€€,French,Hôtel Saint-James & Albany 202 rue de Rivoli 75001 Paris France,48.864293,2.330798
La Tour de Montlhéry ou chez Denise,3.8,€€€,French,5 rue Prouvaires 75001 Paris France,48.8615,2.34408
Le Black Dog,4.2,€€,"Bars, Argentine",26 rue des Lombards 75004 Paris France,48.85943,2.34918
Chez Papa Jazz Club,4.4,€€€,"Jazz & Blues, French",3 rue Saint-Benoît 75006 Paris France,48.8553886,2.3334401
Le Moï,5.0,€€,Vietnamese,51 rue de Richelieu 75001 Paris France,48.86648,2.3372
Mariage Frères - Salon de Thé,4.1,N/A,"Tea Rooms, Breakfast & Brunch",99 rue de Rivoli 75004 Paris France,48.862759,2.334832
Inavoué,4.4,N/A,"French, Cocktail Bars, Breakfast & Brunch",4 impasse Gomboust 75001 Paris France,48.86771,2.33133
L'Absinthe,3.9,€€€,"French, Modern European, Bistros, Bars",24 place du Marché Saint-Honoré 75001 Paris France,48.86644,2.33201
Au Vieux Comptoir,4.1,€€€,French,17 rue des Lavandières-Sainte-Opportune 75001 Paris France,48.8588,2.34602
Au Bistro,3.9,€€,"French, Bars",8 rue Marché St Honoré 75001 Paris France,48.86603,2.33125
Bianca,4.6,€€€,"Pizza, Bars, Italian",2 rue du Quatre-Septembre 75002 Paris France,48.8689428250358,2.33969014061391
Boulettes,4.6,€€,French,179 rue Saint-Denis 75002 Paris France,48.86557,2.35045
Le Louvre Ripaille,3.9,€€€,"French, Wine Bars",1 Rue Perrault 75001 Paris France,48.860305752870495,2.3412439109556535
Le Carrousel,3.1,€€,Brasseries,194 rue de Rivoli 75001 Paris France,48.863952,2.331879
Jantchi,3.9,€€,Korean,6 rue Thérèse 75001 Paris France,48.8660081547723,2.33600543883608
Le Bistro du Périgord,4.5,€€€,Bistros,71 rue Saint-Jacques 75005 Paris France,48.8498092201519,2.34515282327701
Guy Savoy,4.6,€€€€,French,Monnaie de Paris 11 quai de Conti 75006 Paris France,48.857,2.3386999
L'Auberge du Louvre,3.9,€€,"French, Fondue",98 rue Saint-Honoré 75001 Paris France,48.861572,2.342235
Le Petit Vendôme,4.2,€€,"Sandwiches, Brasseries",8 rue des Capucines 75002 Paris France,48.86877,2.32973
Le Calife,4.3,€€€€,French,Port des Saints Pères 75006 Paris France,48.8583205,2.3346584
Les Crocs des Halles,4.4,€€€,"Barbeque, French",49 rue Berger 75001 Paris France,48.86219,2.34211
La Bourse et la Vie,4.3,€€€€,French,12 rue Vivienne 75002 Paris France,48.86762,2.33946
Kunitoraya - Bistro Udon,4.1,€€,"Japanese, Soup",1 rue Villedo 75001 Paris France,48.86598,2.3366699
La Pie Noir,4.6,N/A,French,5 rue de la Montagne Sainte Geneviève 75005 Paris France,48.84929,2.34888
Olio Pane Vino,4.4,€€,Italian,44 rue Coquillière 75001 Paris France,48.8646699,2.34073
Ma Salle à Manger,4.0,€€,French Southwest,26 place Dauphine 75001 Paris France,48.856961,2.341829
Aux Castelblangeois,4.2,€,"Bakeries, Sandwiches",168 Rue Saint-Honoré 75001 Paris France,48.86225,2.33939
Domenico,4.0,€€,"Italian, Pizza",3 rue des Pyramides 75001 Paris France,48.864329,2.332365
Le Mazenay,4.5,€€,Bourguignon,46 rue de Montmorency 75003 Paris France,48.8636068791682,2.35325365211382
Bistrot Rougemont,4.6,N/A,French,10 rue Rougemont 75009 Paris France,48.87188,2.346124
Bistrot Madame,4.5,N/A,French,1 rue Saint-Marc 75002 Paris France,48.870203,2.342128
The Family,4.5,€€,"French, Bistros",7 rue la Fayette 75009 Paris France,48.87359,2.33479
Brasserie Bellanger,4.8,N/A,French,140 rue du Faubourg Poissonnière 75010 Paris France,48.88094,2.34994
L'Amour Vache,4.6,€€,Brasseries,2 bd de Bonne Nouvelle 75010 Paris France,48.869901651373,2.35228415692945
La Petite Bourse,4.3,€€,Bistros,127 rue Montmartre 75002 Paris France,48.8692258472692,2.34298937022686
La Comète,4.2,€€,"Bars, French",19 rue du Faubourg Montmartre 75009 Paris France,48.87285,2.343
MONBLEU Faubourg Montmartre,4.5,N/A,"French, Cheese Shops, Fondue",37 rue du Faubourg Montmartre 75009 Paris France,48.874158,2.342127
Brasserie Dubillot,4.4,N/A,"Brasseries, French",222 Rue Saint-Denis 75002 Paris France,48.86809,2.35193
Bouillon Chartier,3.4,€€,French,7 rue du Faubourg Montmartre 75009 Paris France,48.87194,2.34317
Canard et Champagne,4.4,€€€,"French, Champagne Bars",57 passage des Panoramas 75002 Paris France,48.87125,2.34171
Vida,4.7,N/A,French,49 rue de l'Échiquier 75010 Paris France,48.871844,2.348356
Astair,4.7,N/A,"French, Bistros",19 passage des Panoramas 75002 Paris France,48.87083,2.34166
Le Gramont,4.4,N/A,Bistros,15 boulevard des Italiens 75009 Paris France,48.87132,2.3372099
Le Potager du Père Thierry,4.6,€€,French,16 rue des Trois Frères 75018 Paris France,48.884476,2.341335
Tavern'Café,3.9,€€,"French, Breakfast & Brunch",17-19 boulevard Montmartre 75002 Paris France,48.8716532019322,2.34090340489342
Comptoir des Frangins,4.7,N/A,"Bars, Modern European, French",97 rue montmartre 75002 Paris France,48.86802,2.34354
Pascade,4.4,€€€,French,14 rue Daunou 75002 Paris France,48.870597,2.3312
La Petite Rose des Sables,4.7,€€,French,6 rue de Lancry 75010 Paris France,48.868943,2.360193
Rivié,4.3,N/A,French,32 rue du Sentier 75002 Paris France,48.870197,2.346449
Les Fils à Maman,4.0,€€,French,7 bis rue Geoffroy-Marie 75009 Paris France,48.873498,2.343626
Le Boui Boui,4.5,€€,French,11 rue Marie Stuart 75002 Paris France,48.865005,2.347665
Poni,4.9,N/A,"Brasseries, Cocktail Bars",24 rue Saint-Lazare 75009 Paris France,48.8768728554797,2.33698256313801
Le Petit Gourmet,4.5,€€,French,39 rue Fbg Montmartre 75009 Paris France,48.87427926,2.34201908
Le Gavroche,3.9,€€€,"French, Wine Bars, Bistros",19 rue Saint-Marc 75002 Paris France,48.87043,2.34039
La Crème de Paris,4.3,€€,"Ice Cream & Frozen Yogurt, Gluten-Free, Creperies",4 rue du Faubourg Montmartre 75009 Paris France,48.871955,2.343232
Le Valentin,4.4,€€,"Tea Rooms, French, Patisserie/Cake Shop",30 passage Jouffroy 75009 Paris France,48.87216,2.34201
Le Chenin,4.7,€€€,French,33 Rue Le Peletier 75009 Paris France,48.87389,2.33899
Mr Zhao,4.4,€€,Chinese,37 rue des Jeuneurs 75002 Paris France,48.86971,2.34362
Vivre Opéra Garnier,4.9,€€€,French,3 rue de la Michodière 75002 Paris France,48.86922,2.33446
Le So,4.6,€€€,"French, Tapas Bars, Cocktail Bars",93 rue Montmartre 75002 Paris France,48.8677991,2.3437671
Le Bonne Nouvelle,5.0,N/A,Bistros,24 boulevard de Bonne Nouvelle 75010 Paris France,48.87053,2.350453
Gegeor,4.8,N/A,"French, Beer, Wine & Spirits",1 rue Moncey 75009 Paris France,48.88006,2.33106
Les Entretiens,4.7,N/A,"Bars, Cafes, French",33 rue du Faubourg Saint-Martin 75010 Paris France,48.8701641317513,2.35617876695185
Juste,4.6,€€,"Seafood, Party & Event Planning, Bars",48 rue Laffitte 75009 Paris France,48.874968,2.338507
Colin Régis,4.3,€,"Bakeries, Sandwiches",53 Rue Montmartre 75002 Paris France,48.86598,2.34457
Chez Papa,3.6,€€,French,153 rue Montmartre 75002 Paris France,48.87057,2.34258
BREIZH Café Montorgueil | La Crêpe Autrement	,4.7,N/A,Creperies,14 rue des Petits Carreaux 75002 Paris France,48.86689,2.34735
Le Galibot,4.2,€,"French, Bars",17 rue Paul Lelong 75002 Paris France,48.8676,2.34203
Marcella Caffé,4.5,N/A,"Italian, Pizza",9 boulevard Poissonnière 75009 Paris France,48.87076,2.34644
Le Sâotico,4.3,€€€,"French, Caterers",96 rue de Richelieu 75002 Paris France,48.870646,2.339425
1995,4.8,N/A,"Chinese, Taiwanese",142 rue Saint-Denis 75002 Paris France,48.86525,2.35051
La Maison Bleue,4.4,€€€,"Bistros, French, Breakfast & Brunch",7 place Franz Liszt 75010 Paris France,48.878343,2.351023
Bonpot,4.3,N/A,Korean,162 rue Montmartre 75002 Paris France,48.87033,2.34281
Bulliz,4.6,€,"Specialty Food, French",14 rue d'Hauteville 75010 Paris France,48.87144,2.34994
Edgar,3.8,€€€,"Modern European, Seafood, Breakfast & Brunch",31 rue d'Alexandrie 75002 Paris France,48.8682030716511,2.34981670177437
A Noste,3.9,€€€,"Basque, Tapas Bars",6bis rue du 4 Septembre 75002 Paris France,48.86915,2.33909
Restaurant Bachaumont,4.2,€€€,"Nightlife, Mediterranean, Meatballs",18 rue Bachaumont 75002 Paris France,48.866122,2.345012
La Régalade Conservatoire,4.4,€€€,"Brasseries, French",Hotel de Nell Paris 7-9 rue du Conservatoire 75009 Paris France,48.8732306,2.3468674
Uma Nota,4.7,N/A,International,86 rue Réaumur 75002 Paris France,48.86677,2.35052
Royal Vendôme Le,4.4,€€€,Restaurants,26 Rue Danielle Casanova 75002 Paris France,48.86814,2.33088
Le 52,4.5,€€€,French,52 rue du Faubourg Saint-Denis 75010 Paris France,48.87208,2.35405
Pedzouille,4.7,€€,"Bistros, Steakhouses",66 rue du Faubourg Poissonnière 75010 Paris France,48.876133,2.348528
Le Préaumur,3.8,€€,Brasseries,1 place de la Bourse 75002 Paris France,48.86847,2.34174
Bien Bien,4.5,€€,Thai,30bis rue Bergère 75009 Paris France,48.87259,2.34422
Matamata Coffee Bar,4.7,€€,"Coffee & Tea, Breakfast & Brunch, Sandwiches",58 rue d'Argout 75002 Paris France,48.86611,2.34411
Le Sully,4.1,€,"Bars, Brasseries",13 rue du faubourg Saint-Denis 75010 Paris France,48.87029,2.35282
Sunday in Soho,4.1,N/A,"Cafes, Breakfast & Brunch",7 rue Saint-Marc 75002 Paris France,48.87028,2.34149
Le Mesturet,3.9,€€€,Bistros,77 rue de Richelieu 75002 Paris France,48.868938895863,2.3383555300205
Le Gallopin,3.7,€€€,"Brasseries, French",40 rue Notre Dame des Victoires 75002 Paris France,48.86888,2.34214
Gloria Montmartre,4.4,€€,"French, Brazilian, Tapas Bars",48 rue d'Orsel 75018 Paris France,48.88356,2.34211
Café Marguerite,4.4,€€,Brasseries,28 rue des Martyrs 75009 Paris France,48.8785136901908,2.33986740145586
Le Plomb du Cantal,3.8,€€,French,4 bd St Denis 75010 Paris France,48.869331,2.355263
Café Mimosa,4.8,N/A,Breakfast & Brunch,11 rue Buffault 75009 Paris France,48.875549151314,2.34182998538017
La Ville de Provins,4.5,€€,Brasseries,74 boulevard de Strasbourg 75010 Paris France,48.875575,2.358201
Les Affamés,4.7,€€€,"Barbeque, French",7 rue Saint Augustin 75002 Paris France,48.8688316,2.33758
Eels,4.9,N/A,French,27 rue d'Hauteville 75010 Paris France,48.873248,2.3499957
Brasserie Haussmann,3.8,N/A,"Bistros, Brasseries",12 Boulevard Haussmann 75009 Paris France,48.872309,2.337662
Kintaro,3.9,€€,Japanese,24 rue Saint-Augustin 75002 Paris France,48.868947,2.334837
L'Ivress Sentier,4.6,€€,"Wine Bars, Tapas/Small Plates",5 rue Poissonnière 75002 Paris France,48.86872,2.34761
Papacionu,4.4,€€,"Italian, Pizza, Corsican",7 rue Cadet 75009 Paris France,48.875407,2.342773
Tesoro d'Italia,4.5,€€,Italian,7 rue Rougemont 75009 Paris France,48.8716531601097,2.34572584340404
La Cave Gourmande,4.3,€€€,Bistros,96 rue des Martyrs 75018 Paris France,48.884499,2.339847
Echo,3.9,N/A,Breakfast & Brunch,95 rue d'Aboukir 75002 Paris France,48.86827,2.34851
Hokkaido,3.9,€€,Ramen,14 rue Chabanais 75002 Paris France,48.867693,2.337155
Pratolina,4.5,€€€,"Pizza, Italian",11 boulevard de Bonne Nouvelle 75002 Paris France,48.8698601102392,2.35057398676872
Bistro Neuf,4.8,€€,"French, Bistros",9 rue Godot de Mauroy 75009 Paris France,48.8705580204446,2.32685201898613
Bien Élevé,4.6,€€,"Barbeque, French",47 rue Richer 75009 Paris France,48.8740408400062,2.34274864196777
Miam-Miam Cool,5.0,N/A,Chinese,41 rue de Provence 75009 Paris France,48.87416,2.33598
BocaMexa,4.4,N/A,Mexican,81 rue Réaumur 75002 Paris France,48.86691,2.34844
Lemon,4.5,€,"Sandwiches, Juice Bars & Smoothies, Breakfast & Brunch",43 rue des Petits Carreaux 75002 Paris France,48.86811,2.34744
Filakia,4.0,€€,"Sandwiches, Greek",9 rue Mandar 75002 Paris France,48.8657033,2.3453347
Rouge Bis,4.2,€€,Brasseries,7 place Blanche 75009 Paris France,48.8837021,2.3319197
La Brigade,4.3,N/A,Pop-Up Restaurants,23 boulevard des Italiens 75002 Paris France,48.87108,2.3357899
Ilang,4.3,N/A,Korean,2 bis rue Daunou 75002 Paris France,48.8692192451668,2.33247774470652
Terroir & Burger - Bar des Variétés,4.0,€€,"Brasseries, Burgers",12 passage des Panoramas 75002 Paris France,48.87119251,2.34174692
L'Oseille,4.4,N/A,French,3 rue Saint-Augustin 75002 Paris France,48.86885,2.33781
Chez Delphine,5.0,N/A,French,48 rue Saint-Georges 75009 Paris France,48.8772257556351,2.33733181919955
Fric-Frac,4.4,€€,"French, Sandwiches",79 quai de Valmy 75010 Paris France,48.872441,2.364006
Golden Pat,4.2,€€,French,20 rue de Mazagran 75010 Paris France,48.87091,2.35213
Kapunka,4.1,€€,"Thai, Gluten-Free",51 rue Saint-Sauveur 75002 Paris France,48.8662,2.3477
La Bécane à Gaston,5.0,N/A,French,24 rue Lucien Sampaix 75010 Paris France,48.87251,2.36112
Zazza,4.3,€€,"Cocktail Bars, Italian, Pizza",18 rue du Faubourg Poissonnière 75010 Paris France,48.87214,2.348
Le Bistro Basque,4.5,€€,"Wine Bars, Tapas Bars, Basque",20 rue du Faubourg Poissonniere 75010 Paris France,48.87229,2.348
L'Almodobar,3.8,€€,"French, Tapas/Small Plates",38 rue du Sentier 75002 Paris France,48.870637,2.346676
La Piazzetta,4.7,N/A,"Pizza, Italian",98 rue Montmartre 75002 Paris France,48.867163,2.344202
Merci Jérôme,4.8,N/A,"Bakeries, Tea Rooms, Sandwiches",11 boulevard des Italiens 75002 Paris France,48.87145,2.33795
Riz Riz,4.4,N/A,"Vegan, Vegetarian, Asian Fusion",221 rue Saint Martin 75003 Paris France,48.86424,2.3529399
Pain Vin Fromages,4.4,€€,Fondue,3 rue Geoffroy-l'Angevin 75004 Paris France,48.860525,2.354439
Le Sanglier Bleu,4.7,€€€,French,102 bd de Clichy 75018 Paris France,48.8842888,2.33144
